,ID
139,1385523121864642563
140,1385523109550202883
141,1385523106970669056
142,1385523106517766145
143,1385523106505179138
144,1385523092345266176
145,1385523083201552385
146,1385523078550089729
147,1385523076012535814
148,1385523061429055490
149,1385523057473712129
150,1385523049966022659
151,1385523043989180416
152,1385523039912136705
153,1385523023411875841
154,1385523022585634817
155,1385523021943697409
156,1385523019842392064
157,1385523014238887940
158,1385523010963083267
159,1385523010367459328
160,1385523010053058560
161,1385523006441623555
162,1385523003631443970
163,1385522980558675970
164,1385522979392561153
165,1385522978180403200
166,1385522976120967170
167,1385522973189107715
168,1385522961973579779
169,1385522960929148929
170,1385522956923637763
171,1385522956248313856
172,1385522950204530691
173,1385522949428498434
174,1385522938871431168
175,1385522921607663616
176,1385522918482845698
177,1385522912392744961
178,1385522911457447937
179,1385522899482603520
180,1385522899319234560
181,1385522897104424962
182,1385522888124497920
183,1385522881585680385
184,1385522880826380288
185,1385522870055485440
186,1385522866335145995
187,1385522863873028096
188,1385522861176066051
189,1385522853563572227
190,1385522849180389376
191,1385522848932917248
192,1385522848735711232
193,1385522841483812865
194,1385522837708886018
195,1385522836928798720
196,1385522835469242368
197,1385522826837381120
198,1385522822714327044
199,1385522821766553601
200,1385522821204381702
201,1385522819333820416
202,1385522819023265795
203,1385522817899196421
204,1385522816028581890
205,1385522804787802113
206,1385522803940765696
207,1385522799716888579
208,1385522798861471745
209,1385522796445405184
210,1385522776795082753
211,1385522765797548033
212,1385522751696359425
213,1385522726366892037
214,1385522724555182080
215,1385522723317682181
216,1385522722164281350
217,1385522711179321345
218,1385522710021738497
219,1385522707194728453
220,1385522705831665665
221,1385522703906398215
222,1385522703822516226
223,1385522702635606018
224,1385522679461998594
225,1385522676777644034
226,1385522674034610176
227,1385522670188470273
228,1385522669882281984
229,1385522669769027589
230,1385522667969671168
231,1385522656246591491
232,1385522655944609793
233,1385522651045584899
234,1385522636759912448
235,1385522633488338945
236,1385522631646973952
237,1385522619940700160
238,1385522615339548673
239,1385522608960069632
240,1385522603335503872
241,1385522601607405568
242,1385522596096188417
243,1385522592895754241
244,1385522586147241984
245,1385522585371242499
246,1385522584456859652
247,1385522582582005761
248,1385522580887506945
249,1385522575636197379
250,1385522564278198274
251,1385522561425969152
252,1385522551443509251
253,1385522551246491648
254,1385522551103791104
255,1385522547740004352
256,1385522534020308994
257,1385522523501068293
258,1385522513149448192
259,1385522512113643522
260,1385522508523139072
261,1385522507516715008
262,1385522501816516608
263,1385522501044760576
264,1385522495776706562
265,1385522493633400832
266,1385522493394362371
267,1385522482463997952
268,1385522473551208449
269,1385522473219801094
270,1385522473177731074
271,1385522471013470209
272,1385522447781273600
273,1385522440529453058
274,1385522437014507522
275,1385522435613548546
276,1385522429523492864
277,1385522426306605057
278,1385522419410952192
279,1385522417326608386
280,1385522417267707908
281,1385522415074226176
282,1385522411320221698
283,1385522401870557189
284,1385522394907828226
285,1385522384849960963
286,1385522381020483588
287,1385522379800023048
288,1385522374519443457
289,1385522373437263875
290,1385522371310673921
291,1385522361366204416
292,1385522361278074883
293,1385522358635704324
294,1385522350095962113
295,1385522348598730757
296,1385522347013255172
297,1385522346207944705
298,1385522337483743234
299,1385522337273978883
300,1385522332412809218
301,1385522318311493635
302,1385522313513226240
303,1385522308878520321
304,1385522305762086913
305,1385522304961048580
306,1385522298996809728
307,1385522297147035648
308,1385522294206967810
309,1385522286887772160
310,1385522273461805056
311,1385522267178913794
312,1385522260488900609
313,1385522249864679429
314,1385522249466318848
315,1385522237063581700
316,1385522235230736384
317,1385522229836800001
318,1385522229769740288
319,1385522229484703746
320,1385522228905713669
321,1385522227643355141
322,1385522222400303104
323,1385522221578285063
324,1385522218550038532
325,1385522202964070401
326,1385522201349263361
327,1385522195682660353
328,1385522191043743748
329,1385522186828623877
330,1385522181564555264
331,1385522166632837120
332,1385522162954489857
333,1385522147007746050
334,1385522146315755524
335,1385522142561796104
336,1385522140997373955
337,1385522136870100992
338,1385522130977103872
339,1385522128213053453
340,1385522125813989381
341,1385522125105102849
342,1385522121347149824
343,1385522116334952449
344,1385522105245126657
345,1385522096105738241
346,1385522092498620425
347,1385522088891457539
348,1385522086811029504
349,1385522086366486530
350,1385522086219821058
351,1385522083543846916
352,1385522081828323329
353,1385522078057594881
354,1385522071065833472
355,1385522070574886913
356,1385522069769580552
357,1385522067517317122
358,1385522066426716160
359,1385522058428223490
360,1385522057820004356
361,1385522056926666752
362,1385522051109240835
363,1385522045744652288
364,1385522044205289474
365,1385522042372509700
366,1385522039667101702
367,1385522039050719235
368,1385522034705264641
369,1385522024932683777
370,1385522020021112834
371,1385522013217775616
372,1385522008201564166
373,1385522002631397379
374,1385521998919516162
375,1385521996306391040
376,1385521991034281984
377,1385521990623285249
378,1385521989314564102
379,1385521985980141570
380,1385521985850155010
381,1385521981777321987
382,1385521976572190723
383,1385521969181773824
384,1385521964610109443
385,1385521964593209347
386,1385521959446880257
387,1385521958733946883
388,1385521947228868610
389,1385521934155218949
390,1385521924688723968
391,1385521918313443336
392,1385521917029875713
393,1385521909694148613
394,1385521899099230208
395,1385521898268676096
396,1385521898100903939
397,1385521895290728449
398,1385521893986377728
399,1385521891629146112
400,1385521888978358274
401,1385521884452642818
402,1385521881759895554
403,1385521880766066694
404,1385521877095907334
405,1385521871878246403
406,1385521863183450116
407,1385521859257462788
408,1385521858536218624
409,1385521857978257411
410,1385521856229294080
411,1385521846724882433
412,1385521837145198593
413,1385521832812597248
414,1385521830132285444
415,1385521817352237058
416,1385521815850737665
417,1385521812726067201
