,ID
2031,1385538460400848896
2032,1385538447545454592
2033,1385538437822894084
2034,1385538426112335881
2035,1385538391903637506
2036,1385538385427656706
2037,1385538380692279304
2038,1385538367597645828
2039,1385538364988956673
2040,1385538333573537795
2041,1385538323020754946
2042,1385538296957317125
2043,1385538292226007042
2044,1385538282231013384
2045,1385538217596788744
2046,1385538196746899462
2047,1385538161321803776
2048,1385538146738216960
2049,1385538137976418312
2050,1385538124676177924
2051,1385538102043815936
2052,1385538095706214405
2053,1385538067193282560
2054,1385538063372226568
2055,1385538038940459009
2056,1385537992157184000
2057,1385537940256747520
2058,1385537930807099396
2059,1385537867305218048
2060,1385537845260075008
2061,1385537832400211974
2062,1385537825626411009
2063,1385537810761977856
2064,1385537790805430274
2065,1385537716310454277
2066,1385537694403547137
2067,1385537693086584832
2068,1385537684777705472
2069,1385537682953031682
2070,1385537682865012740
2071,1385537667249496071
2072,1385537661063081987
2073,1385537648987713537
2074,1385537644759699456
2075,1385537642331312128
2076,1385537542498529280
2077,1385537520599961600
2078,1385537516401479681
2079,1385537512043552769
2080,1385537507237011458
2081,1385537506217652233
2082,1385537503076118528
2083,1385537494071054343
2084,1385537492263182340
2085,1385537483488874498
2086,1385537478287835137
2087,1385537458176024578
2088,1385537453113683971
2089,1385537430892261376
2090,1385537429344563200
2091,1385537423287914497
2092,1385537419534028802
2093,1385537372662734850
2094,1385537366279041028
2095,1385537358158831617
2096,1385537337350926339
2097,1385537270564937728
2098,1385537258833563658
2099,1385537233839550474
2100,1385537204433338370
2101,1385537200167604224
2102,1385537168102264840
2103,1385537163228450818
2104,1385537160980451331
2105,1385537157750611973
2106,1385537136171130883
2107,1385537113924546563
2108,1385537102926974976
2109,1385537093158330380
2110,1385537088989323264
2111,1385537082920083458
2112,1385537074212835328
2113,1385537048392519684
2114,1385537040834519043
2115,1385537030415962112
2116,1385537011516334082
2117,1385537010820075523
2118,1385536985100587011
2119,1385536971632750592
2120,1385536947603468290
2121,1385536939659509763
2122,1385536931061125120
2123,1385536903718576129
2124,1385536871216857089
2125,1385536865332256768
2126,1385536817374638081
2127,1385536787821572096
2128,1385536784260501510
2129,1385536782301868032
2130,1385536776421486594
2131,1385536772126486529
2132,1385536771799322626
2133,1385536738605600769
2134,1385536737359761412
2135,1385536700672212993
2136,1385536688324284418
2137,1385536681860866048
2138,1385536676093628416
2139,1385536672952201223
2140,1385536670548697090
2141,1385536658947387393
2142,1385536648784588802
2143,1385536643860414471
2144,1385536638344777729
2145,1385536635278823427
2146,1385536612143177728
2147,1385536589200302087
2148,1385536561786200064
2149,1385536550331617280
2150,1385536548758646784
2151,1385536547945164806
2152,1385536528730910720
2153,1385536509810405379
2154,1385536487941410820
2155,1385536473206640642
2156,1385536452453441539
2157,1385536449672400905
2158,1385536430584311808
2159,1385536426830438402
2160,1385536424494215170
2161,1385536422245982208
2162,1385536418592673792
2163,1385536412439650310
2164,1385536387403894785
2165,1385536384677593090
2166,1385536381074747395
2167,1385536379522666499
2168,1385536353350336512
2169,1385536338053668865
2170,1385536335256109064
2171,1385536313579945985
2172,1385536311415779328
2173,1385536308651577347
2174,1385536220034445312
2175,1385536205077553154
2176,1385536197284540417
2177,1385536157652422656
2178,1385536141068148738
2179,1385536138874478593
2180,1385536132943912962
2181,1385536113209712641
2182,1385536091957174272
2183,1385536069802811393
2184,1385536056838197249
2185,1385536022071717889
2186,1385535973174378496
2187,1385535928769421314
2188,1385535927229980675
2189,1385535926034702340
2190,1385535917008375808
2191,1385535883458252805
2192,1385535857482813446
2193,1385535826914791427
2194,1385535773227864064
2195,1385535771285860354
2196,1385535717573599233
2197,1385535668865179651
2198,1385535643271450625
2199,1385535634048118787
2200,1385535613001031681
2201,1385535567660601346
2202,1385535547561713670
2203,1385535544243867651
2204,1385535521456197643
2205,1385535520781049863
2206,1385535519745052673
2207,1385535514816573441
2208,1385535512019185666
2209,1385535498328883201
2210,1385535494533128193
2211,1385535474719027204
2212,1385535474547269634
2213,1385535466540253186
2214,1385535443354013699
2215,1385535420960755715
2216,1385535393634807808
2217,1385535361087123458
2218,1385535355621941254
2219,1385535354330091526
2220,1385535251619876866
2221,1385535248860008450
2222,1385535216039743488
2223,1385535183865081859
2224,1385535178592894982
2225,1385535168988033025
2226,1385535166563688449
2227,1385535059814461440
2228,1385535021788766209
2229,1385534972140965889
2230,1385534963731238917
2231,1385534962997268485
2232,1385534950288478211
2233,1385534944508788736
2234,1385534931116253191
2235,1385534928608190465
2236,1385534921003962370
2237,1385534858601148416
2238,1385534764275228678
2239,1385534739889758211
2240,1385534712416985090
2241,1385534705940926471
2242,1385534687343366144
2243,1385534649758363653
2244,1385534642850177026
2245,1385534605944672258
2246,1385534604212375557
2247,1385534589892845568
2248,1385534582771101700
2249,1385534576169132038
2250,1385534576043249664
2251,1385534573854044160
2252,1385534571282845696
2253,1385534557911281667
2254,1385534530208026627
2255,1385534500306755588
2256,1385534485773627392
2257,1385534472825700353
2258,1385534470300868609
2259,1385534431843205121
2260,1385534385902870530
2261,1385534367108263938
2262,1385534358786826242
2263,1385534341246242819
2264,1385534315799347204
2265,1385534300980977666
2266,1385534276351848450
2267,1385534262439383042
2268,1385534256697462787
2269,1385534239253352454
2270,1385534209306071041
2271,1385534205392658434
2272,1385534202859425798
2273,1385534202343481345
2274,1385534196328787970
2275,1385534192755294209
2276,1385534185503293441
2277,1385534182273683462
2278,1385534182105956352
2279,1385534175042842626
2280,1385534165899255809
2281,1385534159884488704
2282,1385534159779770369
2283,1385534157669928961
2284,1385534157263151109
2285,1385534137520455682
2286,1385534131073867783
2287,1385534120323960832
2288,1385534108546134018
2289,1385534108055576578
2290,1385534100539314179
2291,1385534090049245187
2292,1385534069086343171
2293,1385534064694894593
2294,1385534057002438658
2295,1385534055194710019
2296,1385534054863360001
2297,1385534049008054274
2298,1385534015986413568
2299,1385534006800834561
2300,1385533998835798019
2301,1385533994196897794
2302,1385533982486503425
2303,1385533956871933955
2304,1385533948709773318
2305,1385533942724534272
2306,1385533934398808068
2307,1385533915985715200
2308,1385533915323015168
2309,1385533914991767552
2310,1385533909685870593
2311,1385533909451124737
2312,1385533851108212736
2313,1385533844191854594
2314,1385533838366056448
2315,1385533834603663361
2316,1385533832179429377
2317,1385533805575000066
2318,1385533803288883200
2319,1385533747953557506
2320,1385533694673309697
2321,1385533669973110785
2322,1385533668072910851
2323,1385533662263980033
2324,1385533627857993732
2325,1385533624536207362
2326,1385533622602530816
2327,1385533620119498753
2328,1385533618542596098
2329,1385533614222233600
2330,1385533603128303627
